id,temperature,created_at,sound,light,dust,fan,motion
"'6795', ","'25.67',"," '2026-05-07  23:18:30',"," '13.51',"," '255',"," '0.0129',"," '0',", '0'
"'6796', ","'25.94',"," '2026-05-07  23:18:45',"," '12.12',"," '255',"," '0.033', ","'0', ",'0'
"'6797', ","'25.72',"," '2026-05-07  23:19:00',"," '15.41',"," '255',"," '0.0274',"," '0',", '0'
"'6798', ","'25.5', ","'2026-05-07  23:19:15', ","'9.69', '","255', '","0.0327', '","0', '",0'
"'6799', ","'25.91',"," '2026-05-07  23:19:30',"," '16.96',"," '255',"," '0.0315',"," '0',", '0'
"'6800', ","'25.89',"," '2026-05-07  23:19:45',"," '12.87',"," '255',"," '0.0297',"," '0',", '0'
"'6801', ","'25.48',"," '2026-05-07  23:20:00',"," '12.21',"," '255',"," '0.0134',"," '0',", '0'
"'6802', ","'25.9', ","'2026-05-07  23:20:15', ","'11.58', ","'255', ","'0.0269', ","'0', ",'0'
"'6803', ","'25.7', ","'2026-05-07  23:20:30', ","'15.02', ","'255', ","'0.025', '","0', '",0'
"'6804', ","'25.61',"," '2026-05-07  23:20:45',"," '9.39', ","'255', ","'0.0096', ","'0', ",'0'
"'6805', ","'25.53',"," '2026-05-07  23:21:00',"," '10.68',"," '255',"," '0.0258',"," '0',", '0'
"'6806', ","'25.57',"," '2026-05-07  23:21:15',"," '9.52', ","'255', ","'0.0297', ","'0', ",'1'
"'6807', ","'25.6', ","'2026-05-07  23:21:30', ","'159.31',"," '255',"," '0.0282',"," '0',", '0'
"'6808', ","'25.76',"," '2026-05-07  23:21:45',"," '16.11',"," '255',"," '0.0219',"," '0',", '0'
"'6809', ","'25.82',"," '2026-05-07  23:22:00',"," '10.68',"," '255',"," '0.0311',"," '0',", '0'
